Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
LAB2,LAB1,EMPTY,enabled
LAB2,LAB2,EMPTY,enabled
LAB2,Lorenzo,EMPTY,enabled
LAB2,MM,EMPTY,enabled
LAB2,PACO,EMPTY,enabled
LAB2,PRINT,EMPTY,enabled
LAB2,REPSOL,EMPTY,enabled
LAB2,TESTSGT21,EMPTY,enabled
LAB2,TESTSGT22,EMPTY,enabled
LAB2,TESTSGT23,EMPTY,enabled
LAB2,TESTSGT3,EMPTY,enabled
LAB2,TESTSGT4,EMPTY,enabled
LAB2,TESTSGT5,EMPTY,enabled
LAB2,TESTSGT6,EMPTY,enabled
LAB2,TESTSGT7,EMPTY,enabled
LAB2,TESTSGT8,EMPTY,enabled
LAB2,THIN,EMPTY,enabled
LAB2,TLF,EMPTY,enabled
LAB2,TOIP,EMPTY,enabled
LAB2,UPS,EMPTY,enabled
LAB2,Unknown,EMPTY,enabled
LAB2,VISIT,EMPTY,enabled
LAB2,WCOR,EMPTY,enabled
LAB2,WGUEST,EMPTY,enabled
LAB2,WINT,EMPTY,enabled
LAB2,WMIR,EMPTY,enabled
LAB2,WPDA,EMPTY,enabled
LAB2,WVOIP,EMPTY,enabled
LAB2,asier,EMPTY,enabled
LAB2,istvan,EMPTY,enabled
LAB2,Quarantined_Systems,EMPTY,enabled
LAB2,dddd,EMPTY,enabled
LAB2,Abelardo,EMPTY,enabled
LAB2,Luis,EMPTY,enabled
LAB2,istvan3,EMPTY,enabled
LAB2,MariLuz,EMPTY,enabled
Lorenzo,AP,EMPTY,enabled
Lorenzo,AUT,EMPTY,enabled
Lorenzo,COR,EMPTY,enabled
Lorenzo,EKO,EMPTY,enabled
Lorenzo,EXT,EMPTY,enabled
Lorenzo,FMC,EMPTY,enabled
Lorenzo,GuestMobile,EMPTY,enabled
Lorenzo,GuestWS,EMPTY,enabled
Lorenzo,Guests,EMPTY,enabled
Lorenzo,JuanP,EMPTY,enabled
Lorenzo,LAB1,EMPTY,enabled
Lorenzo,LAB2,EMPTY,enabled
Lorenzo,Lorenzo,EMPTY,enabled
Lorenzo,MM,EMPTY,enabled
Lorenzo,PACO,EMPTY,enabled
Lorenzo,PRINT,EMPTY,enabled
Lorenzo,REPSOL,EMPTY,enabled
Lorenzo,TESTSGT21,EMPTY,enabled
Lorenzo,TESTSGT22,EMPTY,enabled
Lorenzo,TESTSGT23,EMPTY,enabled
Lorenzo,TESTSGT3,EMPTY,enabled
Lorenzo,TESTSGT4,EMPTY,enabled
Lorenzo,TESTSGT5,EMPTY,enabled
Lorenzo,TESTSGT6,EMPTY,enabled
Lorenzo,TESTSGT7,EMPTY,enabled
Lorenzo,TESTSGT8,EMPTY,enabled
Lorenzo,THIN,EMPTY,enabled
Lorenzo,TLF,EMPTY,enabled
Lorenzo,TOIP,EMPTY,enabled
Lorenzo,UPS,EMPTY,enabled
Lorenzo,Unknown,EMPTY,enabled
Lorenzo,VISIT,EMPTY,enabled
Lorenzo,WCOR,EMPTY,enabled
Lorenzo,WGUEST,EMPTY,enabled
Lorenzo,WINT,EMPTY,enabled
Lorenzo,WMIR,EMPTY,enabled
Lorenzo,WPDA,EMPTY,enabled
Lorenzo,WVOIP,EMPTY,enabled
Lorenzo,asier,EMPTY,enabled
Lorenzo,istvan,EMPTY,enabled
Lorenzo,Quarantined_Systems,EMPTY,enabled
Lorenzo,dddd,EMPTY,enabled
Lorenzo,Abelardo,EMPTY,enabled
Lorenzo,Luis,EMPTY,enabled
Lorenzo,istvan3,EMPTY,enabled
Lorenzo,MariLuz,EMPTY,enabled
MM,AP,EMPTY,enabled
MM,AUT,EMPTY,enabled
MM,COR,EMPTY,enabled
MM,EKO,EMPTY,enabled
MM,EXT,EMPTY,enabled
MM,FMC,EMPTY,enabled
MM,GuestMobile,EMPTY,enabled
MM,GuestWS,EMPTY,enabled
MM,Guests,EMPTY,enabled
MM,JuanP,EMPTY,enabled
MM,LAB1,EMPTY,enabled
MM,LAB2,EMPTY,enabled
MM,Lorenzo,EMPTY,enabled
MM,MM,EMPTY,enabled
MM,PACO,EMPTY,enabled
MM,PRINT,EMPTY,enabled
MM,REPSOL,EMPTY,enabled
MM,TESTSGT21,EMPTY,enabled
MM,TESTSGT22,EMPTY,enabled
MM,TESTSGT23,EMPTY,enabled
MM,TESTSGT3,EMPTY,enabled
MM,TESTSGT4,EMPTY,enabled
MM,TESTSGT5,EMPTY,enabled
MM,TESTSGT6,EMPTY,enabled
MM,TESTSGT7,EMPTY,enabled
MM,TESTSGT8,EMPTY,enabled
MM,THIN,EMPTY,enabled
MM,TLF,EMPTY,enabled
MM,TOIP,EMPTY,enabled
MM,UPS,EMPTY,enabled
MM,Unknown,EMPTY,enabled
MM,VISIT,EMPTY,enabled
MM,WCOR,EMPTY,enabled
MM,WGUEST,EMPTY,enabled
MM,WINT,EMPTY,enabled
MM,WMIR,EMPTY,enabled
MM,WPDA,EMPTY,enabled
MM,WVOIP,EMPTY,enabled
MM,asier,EMPTY,enabled
MM,istvan,EMPTY,enabled
MM,Quarantined_Systems,EMPTY,enabled
MM,dddd,EMPTY,enabled
MM,Abelardo,EMPTY,enabled
MM,Luis,EMPTY,enabled
MM,istvan3,EMPTY,enabled
MM,MariLuz,EMPTY,enabled
PACO,AP,EMPTY,enabled
PACO,AUT,EMPTY,enabled
PACO,COR,EMPTY,enabled
PACO,EKO,EMPTY,enabled
PACO,EXT,EMPTY,enabled
PACO,FMC,EMPTY,enabled
PACO,GuestMobile,EMPTY,enabled
PACO,GuestWS,EMPTY,enabled
PACO,Guests,EMPTY,enabled
PACO,JuanP,EMPTY,enabled
PACO,LAB1,EMPTY,enabled
PACO,LAB2,EMPTY,enabled
PACO,Lorenzo,EMPTY,enabled
PACO,MM,EMPTY,enabled
PACO,PACO,EMPTY,enabled
PACO,PRINT,EMPTY,enabled
PACO,REPSOL,EMPTY,enabled
PACO,TESTSGT21,EMPTY,enabled
PACO,TESTSGT22,EMPTY,enabled
PACO,TESTSGT23,EMPTY,enabled
PACO,TESTSGT3,EMPTY,enabled
PACO,TESTSGT4,EMPTY,enabled
PACO,TESTSGT5,EMPTY,enabled
PACO,TESTSGT6,EMPTY,enabled
PACO,TESTSGT7,EMPTY,enabled
PACO,TESTSGT8,EMPTY,enabled
PACO,THIN,EMPTY,enabled
PACO,TLF,EMPTY,enabled
PACO,TOIP,EMPTY,enabled
PACO,UPS,EMPTY,enabled
PACO,Unknown,EMPTY,enabled
PACO,VISIT,EMPTY,enabled
PACO,WCOR,EMPTY,enabled
PACO,WGUEST,EMPTY,enabled
PACO,WINT,EMPTY,enabled
