Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
FMC,COR,EMPTY,Enabled
FMC,EKO,EMPTY,Enabled
FMC,EXT,EMPTY,Enabled
FMC,FMC,EMPTY,Enabled
FMC,GuestMobile,EMPTY,Enabled
FMC,GuestWS,EMPTY,Enabled
FMC,Guests,EMPTY,Enabled
FMC,JuanP,EMPTY,Enabled
FMC,LAB1,EMPTY,Enabled
FMC,LAB2,EMPTY,Enabled
FMC,Lorenzo,EMPTY,Enabled
FMC,Luis,EMPTY,Enabled
FMC,MM,EMPTY,Enabled
FMC,MariLuz,EMPTY,Enabled
FMC,PACO,EMPTY,Enabled
FMC,PRINT,EMPTY,Enabled
FMC,Quarantined_Systems,EMPTY,Enabled
FMC,REPSOL,EMPTY,Enabled
FMC,TESTSGT21,EMPTY,Enabled
FMC,TESTSGT22,EMPTY,Enabled
FMC,TESTSGT23,EMPTY,Enabled
FMC,TESTSGT3,EMPTY,Enabled
FMC,TESTSGT4,EMPTY,Enabled
FMC,TESTSGT5,EMPTY,Enabled
FMC,TESTSGT6,EMPTY,Enabled
FMC,TESTSGT7,EMPTY,Enabled
FMC,TESTSGT8,EMPTY,Enabled
FMC,THIN,EMPTY,Enabled
FMC,TLF,EMPTY,Enabled
FMC,TOIP,EMPTY,Enabled
FMC,UPS,EMPTY,Enabled
FMC,Unknown,EMPTY,Enabled
FMC,VISIT,EMPTY,Enabled
FMC,WCOR,EMPTY,Enabled
FMC,WGUEST,EMPTY,Enabled
FMC,WINT,EMPTY,Enabled
FMC,WMIR,EMPTY,Enabled
FMC,WPDA,EMPTY,Enabled
FMC,WVOIP,EMPTY,Enabled
FMC,asier,EMPTY,Enabled
FMC,dddd,EMPTY,Enabled
FMC,istvan,EMPTY,Enabled
FMC,istvan3,EMPTY,Enabled
GuestMobile,AP,EMPTY,Enabled
GuestMobile,AUT,EMPTY,Enabled
GuestMobile,Abelardo,EMPTY,Enabled
GuestMobile,COR,EMPTY,Enabled
GuestMobile,EKO,EMPTY,Enabled
GuestMobile,EXT,EMPTY,Enabled
GuestMobile,FMC,EMPTY,Enabled
GuestMobile,GuestMobile,EMPTY,Enabled
GuestMobile,GuestWS,EMPTY,Enabled
GuestMobile,Guests,EMPTY,Enabled
GuestMobile,JuanP,EMPTY,Enabled
GuestMobile,LAB1,EMPTY,Enabled
GuestMobile,LAB2,EMPTY,Enabled
GuestMobile,Lorenzo,EMPTY,Enabled
GuestMobile,Luis,EMPTY,Enabled
GuestMobile,MM,EMPTY,Enabled
GuestMobile,MariLuz,EMPTY,Enabled
GuestMobile,PACO,EMPTY,Enabled
GuestMobile,PRINT,EMPTY,Enabled
GuestMobile,Quarantined_Systems,EMPTY,Enabled
GuestMobile,REPSOL,EMPTY,Enabled
GuestMobile,TESTSGT21,EMPTY,Enabled
GuestMobile,TESTSGT22,EMPTY,Enabled
GuestMobile,TESTSGT23,EMPTY,Enabled
GuestMobile,TESTSGT3,EMPTY,Enabled
GuestMobile,TESTSGT4,EMPTY,Enabled
GuestMobile,TESTSGT5,EMPTY,Enabled
GuestMobile,TESTSGT6,EMPTY,Enabled
GuestMobile,TESTSGT7,EMPTY,Enabled
GuestMobile,TESTSGT8,EMPTY,Enabled
GuestMobile,THIN,EMPTY,Enabled
GuestMobile,TLF,EMPTY,Enabled
GuestMobile,TOIP,EMPTY,Enabled
GuestMobile,UPS,EMPTY,Enabled
GuestMobile,Unknown,EMPTY,Enabled
GuestMobile,VISIT,EMPTY,Enabled
GuestMobile,WCOR,EMPTY,Enabled
GuestMobile,WGUEST,EMPTY,Enabled
GuestMobile,WINT,EMPTY,Enabled
GuestMobile,WMIR,EMPTY,Enabled
GuestMobile,WPDA,EMPTY,Enabled
GuestMobile,WVOIP,EMPTY,Enabled
GuestMobile,asier,EMPTY,Enabled
GuestMobile,dddd,EMPTY,Enabled
GuestMobile,istvan,EMPTY,Enabled
GuestMobile,istvan3,EMPTY,Enabled
GuestWS,AP,EMPTY,Enabled
GuestWS,AUT,EMPTY,Enabled
GuestWS,Abelardo,EMPTY,Enabled
GuestWS,COR,EMPTY,Enabled
GuestWS,EKO,EMPTY,Enabled
GuestWS,EXT,EMPTY,Enabled
GuestWS,FMC,EMPTY,Enabled
GuestWS,GuestMobile,EMPTY,Enabled
GuestWS,GuestWS,EMPTY,Enabled
GuestWS,Guests,EMPTY,Enabled
GuestWS,JuanP,EMPTY,Enabled
GuestWS,LAB1,EMPTY,Enabled
GuestWS,LAB2,EMPTY,Enabled
GuestWS,Lorenzo,EMPTY,Enabled
GuestWS,Luis,EMPTY,Enabled
GuestWS,MM,EMPTY,Enabled
GuestWS,MariLuz,EMPTY,Enabled
GuestWS,PACO,EMPTY,Enabled
GuestWS,PRINT,EMPTY,Enabled
GuestWS,Quarantined_Systems,EMPTY,Enabled
GuestWS,REPSOL,EMPTY,Enabled
GuestWS,TESTSGT21,EMPTY,Enabled
GuestWS,TESTSGT22,EMPTY,Enabled
GuestWS,TESTSGT23,EMPTY,Enabled
GuestWS,TESTSGT3,EMPTY,Enabled
GuestWS,TESTSGT4,EMPTY,Enabled
GuestWS,TESTSGT5,EMPTY,Enabled
GuestWS,TESTSGT6,EMPTY,Enabled
GuestWS,TESTSGT7,EMPTY,Enabled
GuestWS,TESTSGT8,EMPTY,Enabled
GuestWS,THIN,EMPTY,Enabled
GuestWS,TLF,EMPTY,Enabled
GuestWS,TOIP,EMPTY,Enabled
GuestWS,UPS,EMPTY,Enabled
GuestWS,Unknown,EMPTY,Enabled
GuestWS,VISIT,EMPTY,Enabled
GuestWS,WCOR,EMPTY,Enabled
GuestWS,WGUEST,EMPTY,Enabled
GuestWS,WINT,EMPTY,Enabled
GuestWS,WMIR,EMPTY,Enabled
GuestWS,WPDA,EMPTY,Enabled
GuestWS,WVOIP,EMPTY,Enabled
GuestWS,asier,EMPTY,Enabled
GuestWS,dddd,EMPTY,Enabled
GuestWS,istvan,EMPTY,Enabled
GuestWS,istvan3,EMPTY,Enabled
Guests,AP,EMPTY,Enabled
Guests,AUT,EMPTY,Enabled
Guests,Abelardo,EMPTY,Enabled
Guests,COR,EMPTY,Enabled
Guests,EKO,EMPTY,Enabled
Guests,EXT,EMPTY,Enabled
